instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
12,2011-01-12,1,0,s1_below_2,s1_below_0,3,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,25,1137,s1_below_3442
13,2011-01-13,1,0,s1_below_2,s1_below_0,4,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,38,1368,s1_below_3442
14,2011-01-14,1,0,s1_below_2,s1_below_0,5,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,54,1367,s1_below_3442
15,2011-01-15,1,0,s1_below_2,s1_below_0,6,s1_below_0,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,222,1026,s1_below_3442
16,2011-01-16,1,0,s1_below_2,s1_below_0,0,s1_below_0,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,251,953,s1_below_3442
17,2011-01-17,1,0,s1_below_2,s2_0_up,1,s1_below_0,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,117,883,s1_below_3442
18,2011-01-18,1,0,s1_below_2,s1_below_0,2,s2_0_up,s2_1_2,s1_below_0,s1_below_0,s3_0_up,s1_below_0,9,674,s1_below_3442
19,2011-01-19,1,0,s1_below_2,s1_below_0,3,s2_0_up,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,78,1572,s1_below_3442
20,2011-01-20,1,0,s1_below_2,s1_below_0,4,s2_0_up,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,83,1844,s1_below_3442
21,2011-01-21,1,0,s1_below_2,s1_below_0,5,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s2_0_0,75,1468,s1_below_3442
22,2011-01-22,1,0,s1_below_2,s1_below_0,6,s1_below_0,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,93,888,s1_below_3442
23,2011-01-23,1,0,s1_below_2,s1_below_0,0,s1_below_0,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,150,836,s1_below_3442
24,2011-01-24,1,0,s1_below_2,s1_below_0,1,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,86,1330,s1_below_3442
25,2011-01-25,1,0,s1_below_2,s1_below_0,2,s2_0_up,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,186,1799,s1_below_3442
26,2011-01-26,1,0,s1_below_2,s1_below_0,3,s2_0_up,s3_2_up,s1_below_0,s1_below_0,s3_0_up,s1_below_0,34,472,s1_below_3442
27,2011-01-27,1,0,s1_below_2,s1_below_0,4,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,15,416,s1_below_3442
28,2011-01-28,1,0,s1_below_2,s1_below_0,5,s2_0_up,s2_1_2,s1_below_0,s1_below_0,s3_0_up,s1_below_0,38,1129,s1_below_3442
29,2011-01-29,1,0,s1_below_2,s1_below_0,6,s1_below_0,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,123,975,s1_below_3442
30,2011-01-30,1,0,s1_below_2,s1_below_0,0,s1_below_0,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,140,956,s1_below_3442
31,2011-01-31,1,0,s1_below_2,s1_below_0,1,s2_0_up,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,42,1459,s1_below_3442
32,2011-02-01,1,0,s1_below_2,s1_below_0,2,s2_0_up,s2_1_2,s1_below_0,s1_below_0,s3_0_up,s1_below_0,47,1313,s1_below_3442
33,2011-02-02,1,0,s1_below_2,s1_below_0,3,s2_0_up,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,72,1454,s1_below_3442
34,2011-02-03,1,0,s1_below_2,s1_below_0,4,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,61,1489,s1_below_3442
35,2011-02-04,1,0,s1_below_2,s1_below_0,5,s2_0_up,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,88,1620,s1_below_3442
36,2011-02-05,1,0,s1_below_2,s1_below_0,6,s1_below_0,s2_1_2,s1_below_0,s1_below_0,s3_0_up,s1_below_0,100,905,s1_below_3442
37,2011-02-06,1,0,s1_below_2,s1_below_0,0,s1_below_0,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,354,1269,s1_below_3442
38,2011-02-07,1,0,s1_below_2,s1_below_0,1,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,120,1592,s1_below_3442
39,2011-02-08,1,0,s1_below_2,s1_below_0,2,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s2_0_0,64,1466,s1_below_3442
40,2011-02-09,1,0,s1_below_2,s1_below_0,3,s2_0_up,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,53,1552,s1_below_3442
41,2011-02-10,1,0,s1_below_2,s1_below_0,4,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,47,1491,s1_below_3442
42,2011-02-11,1,0,s1_below_2,s1_below_0,5,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,149,1597,s1_below_3442
43,2011-02-12,1,0,s1_below_2,s1_below_0,6,s1_below_0,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,288,1184,s1_below_3442
44,2011-02-13,1,0,s1_below_2,s1_below_0,0,s1_below_0,s1_below_1,s2_0_0,s1_below_0,s2_0_0,s1_below_0,397,1192,s1_below_3442
45,2011-02-14,1,0,s1_below_2,s1_below_0,1,s2_0_up,s1_below_1,s2_0_0,s1_below_0,s2_0_0,s2_0_0,208,1705,s1_below_3442
46,2011-02-15,1,0,s1_below_2,s1_below_0,2,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,140,1675,s1_below_3442
47,2011-02-16,1,0,s1_below_2,s1_below_0,3,s2_0_up,s1_below_1,s2_0_0,s1_below_0,s2_0_0,s1_below_0,218,1897,s1_below_3442
48,2011-02-17,1,0,s1_below_2,s1_below_0,4,s2_0_up,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s1_below_0,259,2216,s1_below_3442
49,2011-02-18,1,0,s1_below_2,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,579,2348,s1_below_3442
50,2011-02-19,1,0,s1_below_2,s1_below_0,6,s1_below_0,s1_below_1,s2_0_0,s1_below_0,s2_0_0,s3_0_up,532,1103,s1_below_3442
51,2011-02-20,1,0,s1_below_2,s1_below_0,0,s1_below_0,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,639,1173,s1_below_3442
52,2011-02-21,1,0,s1_below_2,s2_0_up,1,s1_below_0,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,195,912,s1_below_3442
53,2011-02-22,1,0,s1_below_2,s1_below_0,2,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,74,1376,s1_below_3442
54,2011-02-23,1,0,s1_below_2,s1_below_0,3,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,139,1778,s1_below_3442
55,2011-02-24,1,0,s1_below_2,s1_below_0,4,s2_0_up,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,100,1707,s1_below_3442
56,2011-02-25,1,0,s1_below_2,s1_below_0,5,s2_0_up,s2_1_2,s2_0_0,s1_below_0,s2_0_0,s2_0_0,120,1341,s1_below_3442
57,2011-02-26,1,0,s1_below_2,s1_below_0,6,s1_below_0,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,424,1545,s1_below_3442
58,2011-02-27,1,0,s1_below_2,s1_below_0,0,s1_below_0,s1_below_1,s2_0_0,s1_below_0,s2_0_0,s1_below_0,694,1708,s1_below_3442
59,2011-02-28,1,0,s1_below_2,s1_below_0,1,s2_0_up,s2_1_2,s2_0_0,s1_below_0,s3_0_up,s1_below_0,81,1365,s1_below_3442
60,2011-03-01,1,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,137,1714,s1_below_3442
61,2011-03-02,1,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s2_0_0,s1_below_0,s2_0_0,s1_below_0,231,1903,s1_below_3442
62,2011-03-03,1,0,s2_2_8,s1_below_0,4,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,123,1562,s1_below_3442
63,2011-03-04,1,0,s2_2_8,s1_below_0,5,s2_0_up,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,214,1730,s1_below_3442
64,2011-03-05,1,0,s2_2_8,s1_below_0,6,s1_below_0,s2_1_2,s2_0_0,s1_below_0,s3_0_up,s1_below_0,640,1437,s1_below_3442
65,2011-03-06,1,0,s2_2_8,s1_below_0,0,s1_below_0,s2_1_2,s2_0_0,s1_below_0,s3_0_up,s2_0_0,114,491,s1_below_3442
66,2011-03-07,1,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s2_0_0,244,1628,s1_below_3442
67,2011-03-08,1,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,316,1817,s1_below_3442
68,2011-03-09,1,0,s2_2_8,s1_below_0,3,s2_0_up,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,191,1700,s1_below_3442
69,2011-03-10,1,0,s2_2_8,s1_below_0,4,s2_0_up,s3_2_up,s2_0_0,s1_below_0,s1_below_0,s1_below_0,46,577,s1_below_3442
70,2011-03-11,1,0,s2_2_8,s1_below_0,5,s2_0_up,s2_1_2,s2_0_0,s1_below_0,s2_0_0,s1_below_0,247,1730,s1_below_3442
71,2011-03-12,1,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s2_0_0,s1_below_0,s2_0_0,s1_below_0,724,1408,s1_below_3442
72,2011-03-13,1,0,s2_2_8,s1_below_0,0,s1_below_0,s1_below_1,s2_0_0,s1_below_0,s2_0_0,s1_below_0,982,1435,s1_below_3442
73,2011-03-14,1,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s2_0_0,s1_below_0,s2_0_0,s1_below_0,359,1687,s1_below_3442
74,2011-03-15,1,0,s2_2_8,s1_below_0,2,s2_0_up,s2_1_2,s2_0_0,s1_below_0,s2_0_0,s1_below_0,289,1767,s1_below_3442
75,2011-03-16,1,0,s2_2_8,s1_below_0,3,s2_0_up,s2_1_2,s2_0_0,s1_below_0,s2_0_0,s1_below_0,321,1871,s1_below_3442
76,2011-03-17,1,0,s2_2_8,s1_below_0,4,s2_0_up,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s1_below_0,424,2320,s1_below_3442
77,2011-03-18,1,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,884,2355,s1_below_3442
78,2011-03-19,1,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s2_0_0,1424,1693,s1_below_3442
79,2011-03-20,1,0,s2_2_8,s1_below_0,0,s1_below_0,s1_below_1,s2_0_0,s1_below_0,s2_0_0,s1_below_0,1047,1424,s1_below_3442
80,2011-03-21,2,0,s2_2_8,s1_below_0,1,s2_0_up,s2_1_2,s2_0_0,s2_0_0,s2_0_0,s1_below_0,401,1676,s1_below_3442
81,2011-03-22,2,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s1_below_0,460,2243,s1_below_3442
82,2011-03-23,2,0,s2_2_8,s1_below_0,3,s2_0_up,s2_1_2,s2_0_0,s1_below_0,s3_0_up,s1_below_0,203,1918,s1_below_3442
83,2011-03-24,2,0,s2_2_8,s1_below_0,4,s2_0_up,s2_1_2,s1_below_0,s1_below_0,s3_0_up,s1_below_0,166,1699,s1_below_3442
84,2011-03-25,2,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,300,1910,s1_below_3442
85,2011-03-26,2,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,981,1515,s1_below_3442
86,2011-03-27,2,0,s2_2_8,s1_below_0,0,s1_below_0,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,472,1221,s1_below_3442
87,2011-03-28,2,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,222,1806,s1_below_3442
88,2011-03-29,2,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s1_below_0,s1_below_0,s2_0_0,s1_below_0,317,2108,s1_below_3442
89,2011-03-30,2,0,s2_2_8,s1_below_0,3,s2_0_up,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,168,1368,s1_below_3442
90,2011-03-31,2,0,s2_2_8,s1_below_0,4,s2_0_up,s3_2_up,s1_below_0,s1_below_0,s3_0_up,s1_below_0,179,1506,s1_below_3442
91,2011-04-01,2,0,s2_2_8,s1_below_0,5,s2_0_up,s2_1_2,s1_below_0,s1_below_0,s2_0_0,s1_below_0,307,1920,s1_below_3442
92,2011-04-02,2,0,s2_2_8,s1_below_0,6,s1_below_0,s2_1_2,s2_0_0,s1_below_0,s2_0_0,s1_below_0,898,1354,s1_below_3442
93,2011-04-03,2,0,s2_2_8,s1_below_0,0,s1_below_0,s1_below_1,s2_0_0,s1_below_0,s2_0_0,s1_below_0,1651,1598,s1_below_3442
94,2011-04-04,2,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s2_0_0,734,2381,s1_below_3442
95,2011-04-05,2,0,s2_2_8,s1_below_0,2,s2_0_up,s2_1_2,s2_0_0,s1_below_0,s2_0_0,s2_0_0,167,1628,s1_below_3442
96,2011-04-06,2,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s2_0_0,s1_below_0,s2_0_0,s1_below_0,413,2395,s1_below_3442
97,2011-04-07,2,0,s2_2_8,s1_below_0,4,s2_0_up,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s1_below_0,571,2570,s1_below_3442
98,2011-04-08,2,0,s2_2_8,s1_below_0,5,s2_0_up,s2_1_2,s2_0_0,s1_below_0,s3_0_up,s1_below_0,172,1299,s1_below_3442
99,2011-04-09,2,0,s2_2_8,s1_below_0,6,s1_below_0,s2_1_2,s2_0_0,s1_below_0,s3_0_up,s1_below_0,879,1576,s1_below_3442
100,2011-04-10,2,0,s2_2_8,s1_below_0,0,s1_below_0,s2_1_2,s2_0_0,s2_0_0,s3_0_up,s1_below_0,1188,1707,s1_below_3442
101,2011-04-11,2,0,s2_2_8,s1_below_0,1,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s2_0_0,s2_0_0,855,2493,s1_below_3442
102,2011-04-12,2,0,s2_2_8,s1_below_0,2,s2_0_up,s2_1_2,s2_0_0,s2_0_0,s2_0_0,s1_below_0,257,1777,s1_below_3442
103,2011-04-13,2,0,s2_2_8,s1_below_0,3,s2_0_up,s2_1_2,s2_0_0,s2_0_0,s3_0_up,s1_below_0,209,1953,s1_below_3442
104,2011-04-14,2,0,s2_2_8,s1_below_0,4,s2_0_up,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s1_below_0,529,2738,s1_below_3442
105,2011-04-15,2,0,s2_2_8,s2_0_up,5,s1_below_0,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s1_below_0,642,2484,s1_below_3442
106,2011-04-16,2,0,s2_2_8,s1_below_0,6,s1_below_0,s3_2_up,s2_0_0,s2_0_0,s3_0_up,s2_0_0,121,674,s1_below_3442
107,2011-04-17,2,0,s2_2_8,s1_below_0,0,s1_below_0,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s1_below_0,1558,2186,s2_3442_5764
108,2011-04-18,2,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s1_below_0,669,2760,s1_below_3442
109,2011-04-19,2,0,s2_2_8,s1_below_0,2,s2_0_up,s2_1_2,s2_0_0,s2_0_0,s2_0_0,s1_below_0,409,2795,s1_below_3442
110,2011-04-20,2,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,613,3331,s2_3442_5764
111,2011-04-21,2,0,s2_2_8,s1_below_0,4,s2_0_up,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s2_0_0,745,3444,s2_3442_5764
112,2011-04-22,2,0,s2_2_8,s1_below_0,5,s2_0_up,s2_1_2,s2_0_0,s1_below_0,s2_0_0,s1_below_0,177,1506,s1_below_3442
113,2011-04-23,2,0,s2_2_8,s1_below_0,6,s1_below_0,s2_1_2,s2_0_0,s2_0_0,s3_0_up,s1_below_0,1462,2574,s2_3442_5764
114,2011-04-24,2,0,s2_2_8,s1_below_0,0,s1_below_0,s2_1_2,s3_0_up,s2_0_0,s3_0_up,s1_below_0,1710,2481,s2_3442_5764
115,2011-04-25,2,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,773,3300,s2_3442_5764
116,2011-04-26,2,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s2_0_0,678,3722,s2_3442_5764
117,2011-04-27,2,0,s2_2_8,s1_below_0,3,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s3_0_up,s1_below_0,547,3325,s2_3442_5764
118,2011-04-28,2,0,s2_2_8,s1_below_0,4,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s2_0_0,s2_0_0,569,3489,s2_3442_5764
119,2011-04-29,2,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s1_below_0,878,3717,s2_3442_5764
120,2011-04-30,2,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s1_below_0,1965,3347,s2_3442_5764
121,2011-05-01,2,0,s2_2_8,s1_below_0,0,s1_below_0,s2_1_2,s2_0_0,s2_0_0,s2_0_0,s1_below_0,1138,2213,s1_below_3442
122,2011-05-02,2,0,s2_2_8,s1_below_0,1,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s2_0_0,s1_below_0,847,3554,s2_3442_5764
123,2011-05-03,2,0,s2_2_8,s1_below_0,2,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s2_0_0,s2_0_0,603,3848,s2_3442_5764
124,2011-05-04,2,0,s2_2_8,s1_below_0,3,s2_0_up,s2_1_2,s2_0_0,s1_below_0,s2_0_0,s2_0_0,255,2378,s1_below_3442
125,2011-05-05,2,0,s2_2_8,s1_below_0,4,s2_0_up,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s1_below_0,614,3819,s2_3442_5764
126,2011-05-06,2,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s2_0_0,s2_0_0,s2_0_0,s1_below_0,894,3714,s2_3442_5764
127,2011-05-07,2,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,1612,3102,s2_3442_5764
128,2011-05-08,2,0,s2_2_8,s1_below_0,0,s1_below_0,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,1401,2932,s2_3442_5764
129,2011-05-09,2,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,664,3698,s2_3442_5764
130,2011-05-10,2,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,694,4109,s2_3442_5764
131,2011-05-11,2,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,550,3632,s2_3442_5764
132,2011-05-12,2,0,s2_2_8,s1_below_0,4,s2_0_up,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,695,4169,s2_3442_5764
133,2011-05-13,2,0,s2_2_8,s1_below_0,5,s2_0_up,s2_1_2,s2_0_0,s2_0_0,s3_0_up,s1_below_0,692,3413,s2_3442_5764
134,2011-05-14,2,0,s2_2_8,s1_below_0,6,s1_below_0,s2_1_2,s3_0_up,s2_0_0,s3_0_up,s1_below_0,902,2507,s1_below_3442
135,2011-05-15,2,0,s2_2_8,s1_below_0,0,s1_below_0,s2_1_2,s3_0_up,s2_0_0,s3_0_up,s1_below_0,1582,2971,s2_3442_5764
136,2011-05-16,2,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s3_0_up,s2_0_0,s3_0_up,s1_below_0,773,3185,s2_3442_5764
137,2011-05-17,2,0,s2_2_8,s1_below_0,2,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s3_0_up,s1_below_0,678,3445,s2_3442_5764
138,2011-05-18,2,0,s2_2_8,s1_below_0,3,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s3_0_up,s1_below_0,536,3319,s2_3442_5764
139,2011-05-19,2,0,s2_2_8,s1_below_0,4,s2_0_up,s2_1_2,s3_0_up,s2_0_0,s3_0_up,s1_below_0,735,3840,s2_3442_5764
140,2011-05-20,2,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,909,4008,s2_3442_5764
141,2011-05-21,2,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,2258,3547,s3_5764_up
142,2011-05-22,2,0,s2_2_8,s1_below_0,0,s1_below_0,s1_below_1,s3_0_up,s2_0_0,s2_0_0,s1_below_0,1576,3084,s2_3442_5764
143,2011-05-23,2,0,s2_2_8,s1_below_0,1,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s3_0_up,s1_below_0,836,3438,s2_3442_5764
144,2011-05-24,2,0,s2_2_8,s1_below_0,2,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,659,3833,s2_3442_5764
145,2011-05-25,2,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,740,4238,s2_3442_5764
146,2011-05-26,2,0,s2_2_8,s1_below_0,4,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,758,3919,s2_3442_5764
147,2011-05-27,2,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,871,3808,s2_3442_5764
148,2011-05-28,2,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,2001,2757,s2_3442_5764
149,2011-05-29,2,0,s2_2_8,s1_below_0,0,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s3_0_up,s1_below_0,2355,2433,s2_3442_5764
150,2011-05-30,2,0,s2_2_8,s2_0_up,1,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1549,2549,s2_3442_5764
151,2011-05-31,2,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,673,3309,s2_3442_5764
152,2011-06-01,2,0,s2_2_8,s1_below_0,3,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,513,3461,s2_3442_5764
153,2011-06-02,2,0,s2_2_8,s1_below_0,4,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,736,4232,s2_3442_5764
154,2011-06-03,2,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,898,4414,s2_3442_5764
155,2011-06-04,2,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1869,3473,s2_3442_5764
156,2011-06-05,2,0,s2_2_8,s1_below_0,0,s1_below_0,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1685,3221,s2_3442_5764
157,2011-06-06,2,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,673,3875,s2_3442_5764
158,2011-06-07,2,0,s2_2_8,s1_below_0,2,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,763,4070,s2_3442_5764
159,2011-06-08,2,0,s2_2_8,s1_below_0,3,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,676,3725,s2_3442_5764
160,2011-06-09,2,0,s2_2_8,s1_below_0,4,s2_0_up,s2_1_2,s3_0_up,s3_0_up,s2_0_0,s1_below_0,563,3352,s2_3442_5764
161,2011-06-10,2,0,s2_2_8,s1_below_0,5,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,815,3771,s2_3442_5764
162,2011-06-11,2,0,s2_2_8,s1_below_0,6,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1729,3237,s2_3442_5764
163,2011-06-12,2,0,s2_2_8,s1_below_0,0,s1_below_0,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,1467,2993,s2_3442_5764
164,2011-06-13,2,0,s2_2_8,s1_below_0,1,s2_0_up,s1_below_1,s3_0_up,s3_0_up,s2_0_0,s1_below_0,863,4157,s2_3442_5764
